Date,Open,High,Low,Close,Volume
01/27/2021,419.62,420.14,418.52,418.52,0
01/22/2021,407.34,418.17,405.72,418.17,0
01/15/2021,393.79,403.41,393.79,403.41,0
01/08/2021,383.28,393.99,383.28,393.99,0
12/31/2020,395.14,395.14,390.61,392.58,0
12/24/2020,391.3,392.41,387.2,392.41,0
12/18/2020,386.01,391.98,385.24,391.98,0
12/11/2020,378.92,386.52,378.07,386.52,0
12/04/2020,385.24,388.82,383.62,383.62,0
11/27/2020,385.32,389.68,385.32,386.52,0
11/20/2020,382.34,387.63,377.22,377.65,0
11/13/2020,386.09,391.81,383.02,383.02,0
11/06/2020,370.48,373.21,368,373.21,0
10/30/2020,352.9,369.62,352.9,369.62,0
10/23/2020,358.87,359.9,353.16,353.5,0
10/16/2020,378.24,379.61,370.73,370.73,0
10/09/2020,381.4,386.01,381.4,384.3,0
10/02/2020,381.06,386.09,379.18,379.18,0
09/25/2020,377.47,383.19,376.02,380.2,0
09/18/2020,381.23,382.08,379.95,381.74,0
09/11/2020,363.98,372.1,363.41,372.1,0
09/04/2020,359.39,359.98,354.69,356.48,0
08/28/2020,368.34,371.25,358.02,358.02,0
08/21/2020,375,378.24,370.48,370.48,0
08/14/2020,365.7,376.19,365.7,376.19,0
08/07/2020,369.54,369.54,363.31,363.31,0
07/31/2020,354.35,368.17,354.35,368.17,0
07/24/2020,363.05,363.05,357,358.7,0
07/17/2020,352.53,364.76,351.88,364.76,0
07/10/2020,341.64,350.67,341.3,350.67,0
07/02/2020,329.27,339.25,328.58,339.25,0
06/26/2020,324.66,331.74,324.66,327.73,0
06/19/2020,327.65,330.55,325.6,325.6,0
06/12/2020,328.75,333.79,325.34,325.34,0
06/05/2020,337.8,337.8,328.24,328.24,0
05/29/2020,338.74,345.31,338.74,339.93,0
05/22/2020,337.37,338.14,332.17,332.17,0
05/15/2020,322.47,337.83,322.47,333.87,0
05/08/2020,300.6,330.61,295.14,330.61,0
05/01/2020,286.86,297.78,286.86,297.78,0
04/24/2020,290.44,290.44,282,282,0
04/17/2020,277.73,295.14,277.73,294.54,0
04/09/2020,274.06,295.82,274.06,287.97,0
04/03/2020,304.01,314.25,275.94,275.94,0
03/27/2020,315.79,331.14,305.2,305.2,0
03/20/2020,295.46,310.82,293.26,305.55,0
03/13/2020,343.17,347.76,310.29,310.29,0
03/06/2020,375.94,379.78,357.01,357.01,0
02/28/2020,393.34,393.34,367.15,367.15,0
02/21/2020,411.6,412.29,403.58,403.58,0
02/14/2020,405.03,410.67,399.91,410.67,0
02/06/2020,412.03,412.03,406.74,408.7,0
01/31/2020,413.99,413.99,408.45,408.45,0
01/24/2020,434.22,434.22,423.81,424.23,0
01/17/2020,434.57,436.43,431.48,434.3,0
01/10/2020,434.39,435.97,431.71,435.97,0
01/03/2020,431.48,431.48,425.68,425.68,0
12/27/2019,428.92,432.76,428.92,432.42,0
12/20/2019,434.3,434.3,428.75,429.35,0
12/13/2019,425.77,435.32,425.17,435.32,0
12/06/2019,429.35,429.35,423.81,426.54,0
11/29/2019,427.13,432.42,427.13,430.72,0
11/22/2019,426.96,428.24,422.7,422.7,0
11/15/2019,421.01,426.54,421.01,426.54,0
11/08/2019,409.81,414.88,406.14,414.88,0
11/01/2019,397.95,407.94,397.95,407.94,0
10/25/2019,388.65,396.16,388.05,396.16,0
10/18/2019,387.2,388.65,387.2,387.8,0
10/11/2019,379.52,382.76,378.33,382.76,0
10/04/2019,376.45,378.24,374.83,378.07,0
09/27/2019,367.83,377.39,366.64,377.39,0
09/20/2019,355.03,362.29,355.03,358.87,0
09/13/2019,324.9,356.23,324.9,356.23,0
09/06/2019,338.82,338.82,323.81,323.81,0
08/30/2019,344.71,344.71,337.63,337.63,0
08/23/2019,335.24,345.05,335.24,339.25,0
08/16/2019,354.1,354.1,334.64,334.64,0
08/09/2019,366.55,366.55,362.54,364.33,0
08/02/2019,373.55,373.55,367.41,368,0
07/26/2019,372.53,375.09,372.53,375.09,0
07/19/2019,374.66,374.66,369.45,370.31,0
07/12/2019,363.14,375.34,363.14,375.34,0
07/05/2019,355.29,365.19,355.29,365.19,0
06/28/2019,349.57,359.64,349.57,356.14,0
06/21/2019,360.49,360.49,348.89,348.89,0
06/14/2019,362.8,364.59,355.89,355.89,0
06/07/2019,350.85,357.68,350.85,352.56,0
05/31/2019,367.83,368.09,351.79,351.79,0
05/24/2019,370.39,370.39,368.43,368.43,0
05/17/2019,364.93,371.76,364.25,371.76,0
05/10/2019,383.19,383.19,373.17,374.1,0
05/03/2019,391.81,391.81,387.12,387.12,0
04/26/2019,414.93,414.93,392.66,392.66,0
04/18/2019,414.59,418.69,414.59,418.69,0
04/12/2019,411.52,414.51,409.39,414.51,0
04/05/2019,407.76,414.93,406.14,410.75,0
03/29/2019,413.4,413.4,406.14,406.14,0
03/22/2019,418.34,422.87,418.34,421.5,0
03/15/2019,422.35,422.35,407.25,416.13,0
03/08/2019,438.05,439.93,430.67,430.67,0
03/01/2019,441.04,443.43,441.04,442.15,0
02/22/2019,438.4,440.96,438.4,439.85,0
02/15/2019,437.88,437.88,433.36,434.04,0
02/08/2019,433.45,436.6,432.85,436.6,0
02/01/2019,434.73,437.03,430.97,430.97,0
01/25/2019,430.29,432.94,430.29,432.94,0
01/18/2019,432.34,435.92,432.34,434.73,0
01/11/2019,420.48,430.36,420.48,430.36,0
01/04/2019,422.78,422.78,416.13,416.13,0
12/28/2018,419.03,423.81,418.94,423.81,0
12/21/2018,414.85,418.77,414.85,418.77,0
12/14/2018,413.65,419.45,413.65,417.75,0
12/07/2018,410.15,415.7,410.15,414.76,0
11/30/2018,411.77,411.77,410.49,411.26,0
11/23/2018,409.56,412.71,408.62,412.71,0
11/16/2018,400.63,408.62,400.63,408.62,0
11/09/2018,393.6,402.32,393.6,397.64,0
11/02/2018,400.17,400.17,398.63,399.57,0
10/26/2018,402.99,404.1,399.57,404.1,0
10/19/2018,402.64,402.64,398.55,398.55,0
10/12/2018,403.58,403.58,396.5,396.5,0
10/05/2018,405.97,407.76,403.24,403.24,0
09/28/2018,399.32,405.63,399.32,405.63,0
09/21/2018,403.07,404.27,402.39,404.27,0
09/14/2018,378.86,400,378.86,400,0
09/07/2018,375,375.26,371.67,375.26,0
08/31/2018,373.04,373.04,370.14,371.25,0
08/24/2018,376.96,377.05,364.16,364.16,0
08/17/2018,369.11,378.41,369.11,378.41,0
08/10/2018,380.72,380.72,372.18,372.87,0
08/03/2018,374.74,382.25,373.04,382.25,0
07/27/2018,377.47,378.07,373.29,377.05,0
07/20/2018,370.82,377.64,370.31,376.28,0
07/13/2018,363.91,366.47,359.35,366.47,0
07/06/2018,364.85,364.85,363.05,363.05,0
06/29/2018,351.19,364.25,349.57,364.25,0
06/22/2018,358.96,363.99,358.96,361.43,0
06/15/2018,355.55,357.59,347.7,357.59,0
06/08/2018,349.66,361.01,349.66,361.01,0
06/01/2018,346.25,356.48,346.25,353.67,0
05/25/2018,343.43,350.85,343.43,349.15,0
05/18/2018,347.78,347.78,335.24,335.24,0
05/11/2018,358.23,360.31,355.96,356.4,0
05/04/2018,362.12,363.57,357.85,361.95,0
04/27/2018,357.94,365.19,356.14,365.19,0
04/20/2018,355.55,359.3,351.54,354.01,0
04/13/2018,349.83,353.92,346.67,353.75,0
04/06/2018,344.54,358.53,340.02,349.23,0
03/29/2018,359.39,360.32,350.09,350.09,0
03/23/2018,375.94,375.94,362.46,362.46,0
03/16/2018,392.25,392.25,381.4,381.4,0
03/09/2018,420.56,420.56,402.15,402.15,0
03/02/2018,423.21,424.06,416.98,416.98,0
02/23/2018,435.92,435.92,426.11,426.11,0
02/16/2018,426.62,435.67,425.85,435.67,0
02/09/2018,428.24,428.24,421.93,421.93,0
02/02/2018,426.62,430.46,419.54,430.46,0
01/26/2018,423.12,427.13,418.43,425.34,0
01/19/2018,410.84,421.42,410.84,418.86,0
01/12/2018,401.5,407.68,401.5,407.68,0
01/05/2018,420.99,420.99,407,407,0
12/29/2017,414.59,417.24,412.97,414.85,0
12/22/2017,411.6,411.6,404.69,404.69,0
12/15/2017,401.79,413.05,401.79,413.05,0
12/08/2017,413.57,413.57,403.75,403.75,0
12/01/2017,430.2,432.08,416.3,416.3,0
11/24/2017,419.88,428.24,419.88,425.17,0
11/17/2017,431.4,431.4,425.51,425.51,0
11/10/2017,427.73,430.39,427.25,428.38,0
11/03/2017,421.16,434.47,421.16,434.47,0
10/27/2017,398.46,412.37,398.46,412.37,0
10/20/2017,398.72,398.72,395.82,397.95,0
10/13/2017,399.06,405.46,399.06,399.74,0
10/06/2017,387.12,399.06,387.12,399.06,0
09/29/2017,390.53,393.34,387.29,393.34,0
09/22/2017,385.49,400.77,385.49,400.77,0
09/15/2017,373.62,385.07,373.52,385.07,0
09/08/2017,356.4,370.07,356.4,370.07,0
09/01/2017,369.88,369.88,358.87,358.87,0
08/25/2017,361.26,367.66,361.26,364.93,0
08/18/2017,363.82,372.18,361.43,361.43,0
08/11/2017,379.27,379.27,363.82,366.55,0
08/04/2017,382.08,391.89,382.08,389.42,0
07/28/2017,390.44,390.44,383.7,383.7,0
07/21/2017,404.86,405.72,398.89,400.68,0
07/14/2017,388.21,404.69,388.21,404.69,0
07/07/2017,395.05,395.05,387.54,391.72,0
06/30/2017,403.67,403.67,392.58,396.93,0
06/23/2017,396.25,396.25,390.02,393.43,0
06/16/2017,414.85,414.85,401.02,403.33,0
06/09/2017,430.72,430.72,421.84,422.7,0
06/02/2017,409.04,430.2,409.04,430.2,0
05/26/2017,416.47,416.47,405.97,405.97,0
05/19/2017,405.46,413.14,403.58,413.14,0
05/12/2017,429.91,429.91,408.45,415.61,0
05/05/2017,423.63,448.12,423.63,437.88,0
04/28/2017,391.98,423.29,391.98,423.29,0
04/21/2017,394.45,398.29,394.45,398.29,0
04/13/2017,383.28,391.47,383.28,391.47,0
04/07/2017,377.82,381.57,373.04,381.57,0
03/31/2017,380.38,381.74,378.41,378.41,0
03/24/2017,374.74,388.31,374.74,385.15,0
03/17/2017,368.94,374.32,364.85,374.32,0
03/10/2017,394.37,394.37,373.79,373.79,0
03/03/2017,394.2,402.47,394.2,395.82,0
02/24/2017,393.52,397.7,392.32,392.32,0
02/17/2017,384.04,392.24,384.04,392.24,0
02/10/2017,394.62,397.61,386.18,386.18,0
02/03/2017,391.89,394.62,388.05,394.62,0
01/27/2017,406.74,406.74,400.43,400.43,0
01/20/2017,406.14,409.13,406.06,406.06,0
01/13/2017,397.32,407.35,397.32,402.47,0
01/06/2017,392.06,394.8,391.89,391.89,0
12/30/2016,395.9,402.56,395.9,396.08,0
12/23/2016,395.65,398.63,394.2,396.93,0
12/16/2016,385.49,393.69,385.49,393.69,0
12/09/2016,371.93,379.01,371.93,377.22,0
12/02/2016,378.92,382.08,371.59,371.59,0
11/25/2016,373.98,382.94,373.98,382.94,0
11/18/2016,363.57,371.5,363.57,371.5,0
11/11/2016,347.71,362.8,347.71,362.8,0
11/04/2016,352.65,360.15,350.6,350.6,0
10/28/2016,355.8,358.87,354.61,356.14,0
10/21/2016,337.88,347.7,331.48,347.7,0
10/14/2016,341.47,341.47,328.24,332.59,0
10/07/2016,341.21,351.88,341.21,351.71,0
09/30/2016,362.2,362.2,341.72,341.72,0
09/23/2016,366.38,369.8,364.68,364.68,0
09/16/2016,362.85,368.77,360.39,368.77,0
09/09/2016,341.38,357,341.38,357,0
09/02/2016,358.62,366.81,346.76,346.76,0
08/26/2016,376.62,376.62,362.97,362.97,0
08/19/2016,388.99,388.99,376.28,376.28,0
08/12/2016,391.3,392.49,390.87,390.87,0
08/05/2016,389.33,394.28,389.33,394.28,0
07/29/2016,379.1,385.84,379.1,381.31,0
07/22/2016,377.56,377.56,360.75,368.86,0
07/15/2016,373.19,382.51,371.67,374.91,0
07/08/2016,387.88,387.88,381.57,383.09,0
07/01/2016,382.34,391.89,382.34,385.58,0
06/24/2016,376.28,388.57,376.28,378.41,0
06/17/2016,390.27,392.49,384.13,384.13,0
06/10/2016,397.78,405.63,395.9,400.51,0
06/03/2016,402.9,402.9,400.85,402.05,0
05/27/2016,390.61,397.35,386.26,397.35,0
05/20/2016,407.76,409.39,400.85,400.85,0
05/13/2016,415.73,415.73,405.2,405.2,0
05/06/2016,395.22,410.1,395.22,410.1,0
04/29/2016,397.95,405.29,391.81,392.24,0
04/22/2016,406.74,406.74,391.3,391.3,0
04/15/2016,420.56,420.56,415.44,416.98,0
04/08/2016,422.1,423.29,412.12,423.29,0
04/01/2016,428.41,428.41,420.05,421.76,0
03/24/2016,436.35,436.35,426.96,427.9,0
03/18/2016,439.68,446.25,439.68,440.61,0
03/11/2016,457.25,457.25,438.74,438.74,0
03/04/2016,467.49,467.92,462.29,465.36,0
02/26/2016,459.47,468.77,459.47,467.58,0
02/19/2016,450.94,458.62,450.94,457.17,0
02/12/2016,448.46,449.83,440.7,440.7,0
02/05/2016,458.79,463.31,458.7,458.7,0
01/29/2016,451.28,461.6,451.28,457.34,0
01/22/2016,444.2,454.18,437.46,454.18,0
01/15/2016,452.41,453.38,438.57,438.57,0
01/08/2016,465.61,466.81,454.15,454.15,0
12/31/2015,464.68,466.89,462.46,466.89,0
12/24/2015,443.77,467.66,443.77,467.66,0
12/18/2015,424.57,428.41,418.17,428.41,0
12/11/2015,433.96,433.96,423.72,430.89,0
12/04/2015,451.71,459.47,441.04,441.04,0
11/27/2015,458.02,458.02,452.22,456.83,0
11/20/2015,442.49,454.35,442.49,450.6,0
11/13/2015,451.77,461.52,442.06,452.73,0
11/06/2015,483.53,483.53,458.7,462.01,0
10/30/2015,484.64,490.1,479.86,483.7,0
10/23/2015,483.45,490.61,483.45,489.42,0
10/16/2015,469.54,475.85,466.04,475.85,0
10/09/2015,444.45,469.88,444.45,468.69,0
10/02/2015,468.09,468.09,443.69,448.38,0
09/25/2015,476.96,476.96,457.34,467.58,0
09/18/2015,488.65,488.65,472.27,472.27,0
09/11/2015,489.68,491.47,484.71,484.71,0
09/04/2015,488.74,488.74,479.44,479.44,0
08/28/2015,485.75,491.38,479.1,491.38,0
08/21/2015,504.1,504.1,490.96,490.96,0
08/14/2015,509.56,509.56,500.34,501.19,0
08/07/2015,505.46,508.02,505.46,506.91,0
07/31/2015,491.38,501.02,491.38,498.04,0
07/24/2015,508.62,508.62,491.89,491.89,0
07/17/2015,508.87,513.05,508.87,508.96,0
07/10/2015,513.65,515.61,509.37,509.37,0
07/02/2015,511.52,516.13,505.38,516.13,0
06/26/2015,518.43,518.43,506.91,506.91,0
06/19/2015,515.78,516.13,509.73,514.25,0
06/12/2015,517.41,523.98,514.68,514.68,0
06/05/2015,519.28,519.28,513.91,513.91,0
05/29/2015,514.08,521.33,514.08,516.3,0
05/22/2015,512.03,515.02,511.01,514.33,0
05/15/2015,509.83,519.03,509.83,514.68,0
05/08/2015,514.42,516.89,509.06,514.78,0
05/01/2015,512.88,515.78,509.13,509.13,0
04/24/2015,497.87,516.04,497.87,516.04,0
04/17/2015,508.36,518.77,508.36,508.53,0
04/10/2015,517.92,519.88,507.85,507.85,0
04/02/2015,522.1,523.46,519.54,523.46,0
03/27/2015,522.18,522.35,518.77,522.1,0
03/20/2015,494.8,513.57,494.8,513.57,0
03/13/2015,514.88,514.88,495.82,495.82,0
03/06/2015,523.72,525.77,515.53,522.66,0
02/27/2015,502.05,517.75,496.84,517.75,0
02/20/2015,514.42,520.9,506.91,506.91,0
02/13/2015,524.4,524.83,515.7,522.95,0
02/06/2015,510.58,515.44,505.2,515.44,0
01/30/2015,505.12,519.71,505.12,519.71,0
01/23/2015,515.61,518.34,507.85,507.85,0
