,Value
2001-01-07,96641.56859146016
2001-01-14,89172.96036915059
2001-01-21,100533.6876561888
2001-01-28,101753.62189527162
2001-02-04,61448.50320950679
2001-02-11,84750.18928803664
2001-02-18,84421.53821302361
2001-02-25,96753.46242025739
2001-03-04,74788.05290427695
2001-03-11,86535.42024895162
2001-03-18,68384.00833520485
2001-03-25,74962.95365481549
2001-04-01,90444.57487818539
2001-04-08,71861.08161698084
2001-04-15,76914.86810742773
2001-04-22,73912.39968474496
2001-04-29,80575.04556071378
2001-05-06,81810.27979442166
2001-05-13,71621.89233844675
2001-05-20,88625.35870910135
2001-05-27,91775.87921446323
2001-06-03,91169.6726796808
2001-06-10,109491.09595888053
2001-06-17,90591.22950733564
2001-06-24,95857.93640482264
2001-07-01,88596.12135455747
2001-07-08,94102.59202038606
2001-07-15,100721.36482544024
2001-07-22,98759.97325342346
2001-07-29,98805.41667412306
2001-08-05,101402.44413990108
2001-08-12,86869.22198940656
2001-08-19,96250.4935966094
2001-08-26,97646.81529095462
2001-09-02,86686.2591149639
2001-09-09,81028.86423786303
2001-09-16,99962.31282626608
2001-09-23,86584.26744076151
2001-09-30,82340.4634965112
2001-10-07,82445.40558417719
2001-10-14,86245.32826676815
2001-10-21,91529.48426528208
2001-10-28,103210.754891171
2001-11-04,76203.64925946185
2001-11-11,92314.97755260528
2001-11-18,82604.24906290576
2001-11-25,81756.4500712935
2001-12-02,82781.83495022863
2001-12-09,87165.97137606434
2001-12-16,83744.99161998215
2001-12-23,91154.87180734424
2001-12-30,76546.62513589388
2002-01-06,94589.00275139013
2002-01-13,100243.6002362243
2002-01-20,93039.69505914759
2002-01-27,82297.56283679798
2002-02-03,79078.60770694594
2002-02-10,73181.6167314525
2002-02-17,86488.5233910979
2002-02-24,72768.77425086481
2002-03-03,86195.53153071931
2002-03-10,81457.72149512895
2002-03-17,84547.4931243918
2002-03-24,79229.53389723407
2002-03-31,83291.43907512895
2002-04-07,70307.18459562834
2002-04-14,86815.4003053985
2002-04-21,78670.84350810738
2002-04-28,82467.61131894596
2002-05-05,72459.46257952013
2002-05-12,92801.43024747302
2002-05-19,69743.25088123353
2002-05-26,72299.7840585523
2002-06-02,99562.6245013409
2002-06-09,91793.12694226387
2002-06-16,81045.99817134894
2002-06-23,88356.23897519849
2002-06-30,87799.88489051993
2002-07-07,88603.04374603073
2002-07-14,99722.08173280455
2002-07-21,100745.7577249595
2002-07-28,90601.0383759014
2002-08-04,97322.48460532281
2002-08-11,92846.97359200708
2002-08-18,103935.77756665577
2002-08-25,94208.2789438367
2002-09-01,77620.50601358726
2002-09-08,96352.40433159625
2002-09-15,76980.1429222603
2002-09-22,84003.09591233994
2002-09-29,86853.72900031682
2002-10-06,86256.97076637509
2002-10-13,82896.69956728249
2002-10-20,101569.21497688985
2002-10-27,94802.45443850833
2002-11-03,83956.23330252223
2002-11-10,105103.84797146815
2002-11-17,88880.66050296779
2002-11-24,73343.55152351272
2002-12-01,102674.03033351428
2002-12-08,97417.09628273087
2002-12-15,101691.86476705477
2002-12-22,104327.64919051372
2002-12-29,106401.17654219615
2003-01-05,101243.78558033764
2003-01-12,106062.99866525458
2003-01-19,106838.60281994457
2003-01-26,81820.22190698022
2003-02-02,102843.14505059204
2003-02-09,85241.29389045999
2003-02-16,99631.44319790741
2003-02-23,93484.63913792344
2003-03-02,92024.81360369944
2003-03-09,92970.74098530067
2003-03-16,84821.56081751114
2003-03-23,84213.49702604856
2003-03-30,77536.4691816654
2003-04-06,84790.03750975202
2003-04-13,83414.87250722486
2003-04-20,77230.98689423391
2003-04-27,80251.15554902848
2003-05-04,96530.78727312248
2003-05-11,73106.60235604976
2003-05-18,89965.40132102267
2003-05-25,85807.2834371091
2003-06-01,96720.26274066117
2003-06-08,97537.69687584233
2003-06-15,107177.81190460049
2003-06-22,92460.47526399078
2003-06-29,95700.69972162505
2003-07-06,89980.14486608228
2003-07-13,98047.72395575355
2003-07-20,108133.79460012441
2003-07-27,98692.6669093921
2003-08-03,110085.8051318213
2003-08-10,80232.76516016276
2003-08-17,111394.02210407039
2003-08-24,92922.48325060344
2003-08-31,120598.27657289986
2003-09-07,88035.22844187715
2003-09-14,91276.19265678921
2003-09-21,86024.15654050086
2003-09-28,87722.61751905462
2003-10-05,91210.74966875532
2003-10-12,89381.76102886432
2003-10-19,97183.15042076966
2003-10-26,99250.46406286246
2003-11-02,98615.15733966182
2003-11-09,81196.16074245312
2003-11-16,92143.16102926744
2003-11-23,91541.65597335782
2003-11-30,81882.01429049623
2003-12-07,101946.07786291097
2003-12-14,111879.39837481474
2003-12-21,108918.86766826005
2003-12-28,88241.95344158815
2004-01-04,83847.69863249802
2004-01-11,102452.13548118036
2004-01-18,92151.16695098176
2004-01-25,103511.04791267056
2004-02-01,75784.09387266147
2004-02-08,95275.7680407352
2004-02-15,84415.23615817113
2004-02-22,93418.17015324018
2004-02-29,88950.88822653574
2004-03-07,95273.44302312071
2004-03-14,94298.73093353667
2004-03-21,95635.52522016171
2004-03-28,83864.80676180504
2004-04-04,97950.13466911211
2004-04-11,71599.2102788733
2004-04-18,71213.33832620192
2004-04-25,71397.74721948178
2004-05-02,80065.28044919614
2004-05-09,90984.69836684085
2004-05-16,101579.21061700059
2004-05-23,85915.47351274075
2004-05-30,90473.5901146937
2004-06-06,93965.62577199568
2004-06-13,94085.95081681329
2004-06-20,89099.44818147647
2004-06-27,88873.7451609992
2004-07-04,96625.61901428389
2004-07-11,104495.33756160802
2004-07-18,90675.84598359364
2004-07-25,99090.94568400085
2004-08-01,97896.6741572614
2004-08-08,103326.97069451604
2004-08-15,96531.76452183341
2004-08-22,100356.44880939942
2004-08-29,99686.60547206087
2004-09-05,94130.70147630974
2004-09-12,100835.8093937734
2004-09-19,83370.92196612553
2004-09-26,87745.48202817852
2004-10-03,91006.45647083396
2004-10-10,101383.31300430544
2004-10-17,87409.60814921456
2004-10-24,85462.20326336428
2004-10-31,95141.96484229018
2004-11-07,99771.39386577306
2004-11-14,93192.54526264909
2004-11-21,103846.81750049103
2004-11-28,115548.64622198546
2004-12-05,111012.39111241382
2004-12-12,95655.60451407912
2004-12-19,98641.07839547501
2004-12-26,98394.55865440391
2005-01-02,99486.10836580016
2005-01-09,112260.52598078898
2005-01-16,94248.96644023206
2005-01-23,117748.30609634632
2005-01-30,98361.96257594209
2005-02-06,83992.91412102176
2005-02-13,91200.32673680823
2005-02-20,79818.44651557856
2005-02-27,75695.58271213585
2005-03-06,86971.90150516735
2005-03-13,86943.33204034904
2005-03-20,81907.0439965849
2005-03-27,92069.82692823467
2005-04-03,82026.56134147577
2005-04-10,93600.06656391521
2005-04-17,79390.01899997647
2005-04-24,70765.77291613078
2005-05-01,103841.27015827151
2005-05-08,79505.16569164673
2005-05-15,84371.81606147367
2005-05-22,80942.56792991864
2005-05-29,87714.55035305503
2005-06-05,82302.3534235662
2005-06-12,89095.21802196103
2005-06-19,90698.74709030558
2005-06-26,105070.2109679302
2005-07-03,112556.70839565113
2005-07-10,108597.00321222523
2005-07-17,102424.06705767955
2005-07-24,102093.15956921683
2005-07-31,102749.37396615418
2005-08-07,114478.75285385712
2005-08-14,96329.57716841684
2005-08-21,103134.83843948497
2005-08-28,109158.46404364632
2005-09-04,96664.92483713158
2005-09-11,106425.58777676125
2005-09-18,104863.84523911355
2005-09-25,96603.7221925104
2005-10-02,105191.26011858707
2005-10-09,105084.71254952761
2005-10-16,92125.06002579603
2005-10-23,88232.35328699918
2005-10-30,85199.11755230169
2005-11-06,95189.28781904803
2005-11-13,85223.8431105901
2005-11-20,86283.56634072766
2005-11-27,82489.75268182624
2005-12-04,97047.22437211643
2005-12-11,99925.6487091493
2005-12-18,91481.93541481893
2005-12-25,105124.1431425092
2006-01-01,85259.76380130003
2006-01-08,99900.96601665048
2006-01-15,102563.39863475923
2006-01-22,90666.57156745633
2006-01-29,79694.69414375939
2006-02-05,89215.50887808455
2006-02-12,84517.49223903549
2006-02-19,81122.05312064372
2006-02-26,85731.61448035133
2006-03-05,95196.90301517797
2006-03-12,80811.05040327257
2006-03-19,91750.32230739086
2006-03-26,71496.94373499634
2006-04-02,82597.32415540842
2006-04-09,61113.32375823996
2006-04-16,82516.12872391488
2006-04-23,80757.63412536471
2006-04-30,76622.68976984083
2006-05-07,98791.07935379761
2006-05-14,90639.38154138227
2006-05-21,92190.22219422019
2006-05-28,92471.04294526213
2006-06-04,94772.13178710034
2006-06-11,94013.94231592554
2006-06-18,86645.47970178688
2006-06-25,100022.02385931695
2006-07-02,113932.13352701075
2006-07-09,99115.93937788322
2006-07-16,103476.19111779061
2006-07-23,112155.2466554703
2006-07-30,102840.07705841896
2006-08-06,111587.02766384969
2006-08-13,89254.92341311282
2006-08-20,107008.08460443914
2006-08-27,97506.62027446825
2006-09-03,87652.55956715328
2006-09-10,100248.98260617549
2006-09-17,84102.53602353673
2006-09-24,88300.3702553293
2006-10-01,88715.44496237504
2006-10-08,97212.72852299389
2006-10-15,99132.36371454097
2006-10-22,82404.01938225229
2006-10-29,99820.454208729
2006-11-05,89419.73491498319
2006-11-12,71278.0043983235
2006-11-19,100263.45103615499
2006-11-26,86026.08542665742
2006-12-03,97865.8099069465
2006-12-10,108608.66408555805
2006-12-17,101828.46890945557
2006-12-24,99007.11301688528
2006-12-31,100107.73151348904
2007-01-07,104035.40210341649
2007-01-14,103780.43867668622
2007-01-21,103390.53548332458
2007-01-28,96057.80733629352
2007-02-04,98474.40128357257
2007-02-11,94496.68970631075
2007-02-18,83686.70716209008
2007-02-25,100026.89178001959
2007-03-04,84106.57493961079
2007-03-11,103531.26813121187
2007-03-18,76686.4478059736
2007-03-25,97864.86293646292
2007-04-01,90176.32351003586
2007-04-08,87599.4244838181
2007-04-15,89773.7903745003
2007-04-22,76266.3644821541
2007-04-29,86555.67407149776
2007-05-06,88847.21947129897
2007-05-13,81860.93091724976
2007-05-20,94932.03042560598
2007-05-27,83383.42954249616
2007-06-03,106219.07186354307
2007-06-10,100267.72683624359
2007-06-17,92414.91198171965
2007-06-24,94292.39934423848
2007-07-01,113913.7433104659
2007-07-08,101397.25652508943
2007-07-15,103882.49750146759
2007-07-22,109501.68579013948
2007-07-29,114079.66984113904
2007-08-05,91474.01846028902
2007-08-12,112751.4359933183
2007-08-19,114821.79184614263
2007-08-26,114067.72829224172
2007-09-02,93091.68121990206
2007-09-09,105448.4711602619
2007-09-16,94383.5721514725
2007-09-23,87272.52094214782
2007-09-30,91050.37710488343
2007-10-07,97986.13835960125
2007-10-14,84958.97625094009
2007-10-21,84775.81365389591
2007-10-28,88531.68384639818
2007-11-04,82852.28563202856
2007-11-11,86548.11994393599
2007-11-18,86879.08899918506
2007-11-25,83088.1742662346
2007-12-02,104029.14839731615
2007-12-09,108724.00173593445
2007-12-16,109401.61795927881
2007-12-23,105935.48565272195
2007-12-30,102264.08885192114
2008-01-06,93197.0145433182
2008-01-13,94099.38398382497
2008-01-20,96045.96374254793
2008-01-27,107412.86806163547
2008-02-03,92540.99596410553
2008-02-10,99651.10217143549
2008-02-17,91154.55439915015
2008-02-24,98567.29077570498
2008-03-02,92384.06817226726
2008-03-09,105462.39171597692
2008-03-16,79328.10564789106
2008-03-23,81634.83818568323
2008-03-30,102014.16132008527
2008-04-06,84165.83253843054
2008-04-13,81983.29595459788
2008-04-20,85723.70607981617
2008-04-27,79280.9645760159
2008-05-04,98813.32818726035
2008-05-11,82240.09225125701
2008-05-18,86573.23380400072
2008-05-25,85322.80955683302
2008-06-01,100216.14276760627
2008-06-08,81963.56228458651
2008-06-15,90318.30327232981
2008-06-22,102049.97539380315
2008-06-29,102465.10151835468
2008-07-06,115895.24655760142
2008-07-13,103357.9599237257
2008-07-20,108176.76357275435
2008-07-27,97429.21840233506
2008-08-03,98921.16556748305
2008-08-10,105137.04808502458
2008-08-17,113611.06123358327
2008-08-24,88242.70628927952
2008-08-31,96829.96560489325
2008-09-07,102804.97046970043
2008-09-14,93837.82809820009
2008-09-21,81422.88869070663
2008-09-28,91804.63649789376
2008-10-05,89314.9697291253
2008-10-12,79970.59109424043
2008-10-19,75442.20358125526
2008-10-26,78034.1009822252
2008-11-02,78885.79179641795
2008-11-09,84952.59895776716
2008-11-16,83300.98953875872
2008-11-23,73529.4410498112
2008-11-30,93144.23856523284
2008-12-07,93097.53673731517
2008-12-14,96031.18995947189
2008-12-21,94626.38775698983
2008-12-28,81948.20378701345
