Week,Crude_oil_production
1983-01-07,8634
1983-01-14,8634
1983-01-21,8634
1983-01-28,8634
1983-02-04,8660
1983-02-11,8660
1983-02-18,8660
1983-02-25,8660
1983-03-04,8677
1983-03-11,8677
1983-03-18,8677
1983-03-25,8677
1983-04-01,8677
1983-04-08,8686
1983-04-15,8686
1983-04-29,8686
1983-05-13,8682
1983-05-20,8682
1983-06-03,8676
1983-06-10,8676
1983-06-17,8676
1983-06-24,8676
1983-07-01,8676
1983-07-08,8647
1983-07-15,8647
1983-07-22,8647
1983-07-29,8647
1983-08-05,8653
1983-08-12,8653
1983-08-19,8653
1983-08-26,8653
1983-09-02,8666
1983-09-09,8666
1983-09-16,8666
1983-09-23,8666
1983-09-30,8666
1983-10-07,8654
1983-10-14,8654
1983-10-21,8654
1983-10-28,8654
1983-11-04,8624
1983-11-11,8624
1983-11-18,8624
1983-11-25,8624
1983-12-02,8612
1983-12-09,8612
1983-12-16,8612
1983-12-23,8612
1983-12-30,8612
1984-01-06,8659
1984-01-13,8659
1984-01-20,8659
1984-01-27,8659
1984-02-03,8726
1984-02-10,8726
1984-02-17,8726
1984-02-24,8726
1984-03-02,8718
1984-03-09,8718
1984-03-16,8718
1984-03-23,8718
1984-03-30,8718
1984-04-06,8688
1984-04-13,8688
1984-04-20,8688
1984-04-27,8688
1984-05-04,8753
1984-05-11,8753
1984-05-18,8753
1984-05-25,8753
1984-06-01,8743
1984-06-08,8743
1984-06-15,8743
1984-06-22,8743
1984-06-29,8743
1984-07-06,8769
1984-07-13,8769
1984-07-20,8769
1984-07-27,8769
1984-08-03,8781
1984-08-10,8781
1984-08-17,8781
1984-08-24,8781
1984-08-31,8781
1984-09-07,8759
1984-09-14,8759
1984-09-21,8759
1984-09-28,8759
1984-10-05,8847
1984-10-12,8847
1984-10-19,8847
1984-10-26,8847
1984-11-02,8846
1984-11-09,8846
1984-11-16,8846
1984-11-23,8846
1984-11-30,8846
1984-12-07,8797
1984-12-14,8797
1984-12-21,8797
1984-12-28,8797
1985-01-04,8929
1985-01-11,8929
1985-01-18,8929
1985-01-25,8929
1985-02-01,8928
1985-02-08,8928
1985-02-15,8928
1985-02-22,8928
1985-03-01,8927
1985-03-08,8927
1985-03-15,8927
1985-03-22,8927
1985-03-29,8927
1985-04-05,8842
1985-04-12,8842
1985-04-19,8842
1985-04-26,8842
1985-05-03,8969
1985-05-10,8969
1985-05-17,8969
1985-05-24,8969
1985-05-31,8969
1985-06-07,8965
1985-06-14,8965
1985-06-21,8965
1985-06-28,8965
1985-07-05,8904
1985-07-12,8904
1985-07-19,8904
1985-07-26,8904
1985-08-02,8895
1985-08-09,8895
1985-08-16,8895
1985-08-23,8895
1985-08-30,8895
1985-09-06,8874
1985-09-13,8874
1985-09-20,8874
1985-09-27,8874
1985-10-04,8943
1985-10-11,8943
1985-10-18,8943
1985-10-25,8943
1985-11-01,8932
1985-11-08,8932
1985-11-15,8932
1985-11-22,8932
1985-11-29,8932
1985-12-06,8930
1985-12-13,8930
1985-12-20,8930
1985-12-27,8930
1986-01-03,8942
1986-01-10,8942
1986-01-17,8942
1986-01-24,8942
1986-01-31,8942
1986-02-07,8940
1986-02-14,8940
1986-02-21,8940
1986-02-28,8939
1986-03-07,8939
1986-03-14,8939
1986-03-21,8939
1986-03-28,8939
1986-04-04,8815
1986-04-11,8815
1986-04-18,8815
1986-04-25,8815
1986-05-02,8805
1986-05-09,8805
1986-05-16,8805
1986-05-23,8805
1986-05-30,8805
1986-06-06,8792
1986-06-13,8792
1986-06-20,8792
1986-06-27,8792
1986-07-04,8737
1986-07-11,8737
1986-07-18,8737
1986-07-25,8737
1986-08-01,8737
1986-08-08,8708
1986-08-15,8708
1986-08-22,8708
1986-08-29,8708
1986-09-05,8671
1986-09-12,8671
1986-09-19,8671
1986-09-26,8671
1986-10-03,8773
1986-10-10,8773
1986-10-17,8773
1986-10-24,8773
1986-10-31,8773
1986-11-07,8321
1986-11-14,8321
1986-11-21,8321
1986-11-28,8321
1986-12-05,8348
1986-12-12,8348
1986-12-19,8348
1986-12-26,8348
1987-01-02,8353
1987-01-09,8354
1987-01-16,8354
1987-01-23,8354
1987-01-30,8354
1987-02-06,8383
1987-02-13,8383
1987-02-20,8383
1987-02-27,8383
1987-03-06,8336
1987-03-13,8336
1987-03-20,8336
1987-03-27,8336
1987-04-03,8361
1987-04-10,8361
1987-04-17,8361
1987-04-24,8361
1987-05-01,8361
1987-05-08,8296
1987-05-15,8296
1987-05-22,8296
1987-05-29,8296
1987-06-05,8303
1987-06-12,8303
1987-06-19,8303
1987-06-26,8303
1987-07-03,8287
1987-07-10,8287
1987-07-17,8287
1987-07-24,8287
1987-07-31,8287
1987-08-07,8204
1987-08-14,8204
1987-08-21,8204
1987-08-28,8204
1987-09-04,8162
1987-09-11,8162
1987-09-18,8162
1987-09-25,8162
1987-10-02,8281
1987-10-09,8281
1987-10-16,8281
1987-10-23,8281
1987-10-30,8281
1987-11-06,8283
1987-11-13,8283
1987-11-20,8283
1987-11-27,8283
1987-12-04,8348
1987-12-11,8348
1987-12-18,8348
1987-12-25,8348
1988-01-01,8348
1988-01-08,8395
1988-01-15,8395
1988-01-22,8395
1988-01-29,8395
1988-02-05,8353
1988-02-12,8353
1988-02-19,8353
1988-02-26,8353
1988-03-04,8306
1988-03-11,8306
1988-03-18,8306
1988-03-25,8306
1988-04-01,8306
1988-04-08,8269
1988-04-15,8269
1988-04-22,8269
1988-04-29,8269
1988-05-06,8240
1988-05-13,8240
1988-05-20,8240
1988-05-27,8240
1988-06-03,8210
1988-06-10,8210
1988-06-17,8210
1988-06-24,8210
1988-07-01,8210
1988-07-08,8189
1988-07-15,8189
1988-07-22,8189
1988-07-29,8189
1988-08-05,8128
1988-08-12,8128
1988-08-19,8128
1988-08-26,8128
1988-09-02,8147
1988-09-09,8147
1988-09-16,8147
1988-09-23,8147
1988-09-30,8147
1988-10-07,8085
1988-10-14,8085
1988-10-21,8085
1988-10-28,8085
1988-11-04,8026
1988-11-11,8026
1988-11-18,8026
1988-11-25,8026
1988-12-02,8035
1988-12-09,8035
1988-12-16,8035
1988-12-23,8035
1988-12-30,8035
1989-01-06,8021
1989-01-13,8021
1989-01-20,8021
1989-01-27,8021
1989-02-03,7965
1989-02-10,7965
1989-02-17,7965
1989-02-24,7965
1989-03-03,7921
1989-03-10,7921
1989-03-17,7921
1989-03-24,7921
1989-03-31,7921
1989-04-07,7880
1989-04-14,7880
1989-04-21,7880
1989-04-28,7880
1989-05-05,7843
1989-05-12,7843
1989-05-19,7843
1989-05-26,7843
1989-06-02,7726
1989-06-09,7726
1989-06-16,7726
1989-06-23,7726
1989-06-30,7726
1989-07-07,7622
1989-07-14,7622
1989-07-21,7622
1989-07-28,7622
1989-08-04,7662
1989-08-11,7662
1989-08-18,7662
1989-08-25,7662
1989-09-01,7662
1989-09-08,7641
1989-09-15,7641
1989-09-22,7641
1989-09-29,7641
1989-10-06,7644
1989-10-13,7644
1989-10-20,7644
1989-10-27,7644
1989-11-03,7601
1989-11-10,7601
1989-11-17,7601
1989-11-24,7601
1989-12-01,7601
1989-12-08,7565
1989-12-15,7565
1989-12-22,7565
1989-12-29,7565
1990-01-05,7512
1990-01-12,7512
1990-01-19,7512
1990-01-26,7512
1990-02-02,7399
1990-02-09,7399
1990-02-16,7399
1990-02-23,7399
1990-03-02,7411
1990-03-09,7411
1990-03-16,7411
1990-03-23,7411
1990-03-30,7411
1990-04-06,7310
1990-04-13,7310
1990-04-20,7310
1990-04-27,7310
1990-05-04,7241
1990-05-11,7241
1990-05-18,7241
1990-05-25,7241
1990-06-01,7241
1990-06-08,6981
1990-06-15,6981
1990-06-22,6981
1990-06-29,6981
1990-07-06,7130
1990-07-13,7130
1990-07-20,7130
1990-07-27,7130
1990-08-03,6971
1990-08-10,6971
1990-08-17,6971
1990-08-24,6971
1990-08-31,6971
1990-09-07,6991
1990-09-14,6991
1990-09-21,7041
1990-09-28,7041
1990-10-05,7261
1990-10-12,7261
1990-10-19,7261
1990-10-26,7329
1990-11-02,7342
1990-11-09,7284
1990-11-16,6910
1990-11-23,7440
1990-11-30,7235
1990-12-07,6996
1990-12-14,7474
1990-12-21,7245
1990-12-28,7559
1991-01-04,7481
1991-01-11,7475
1991-01-18,7461
1991-01-25,7219
1991-02-01,7477
1991-02-08,7463
1991-02-15,7427
1991-02-22,7415
1991-03-01,7404
1991-03-08,7394
1991-03-15,7412
1991-03-22,7385
1991-03-29,7383
1991-04-05,7356
1991-04-12,7334
1991-04-19,7370
1991-04-26,7346
1991-05-03,7295
1991-05-10,7303
1991-05-17,7280
1991-05-24,7336
1991-05-31,7323
1991-06-07,7301
1991-06-14,7359
1991-06-21,7338
1991-06-28,7377
1991-07-05,7383
1991-07-12,7365
1991-07-19,7348
1991-07-26,7355
1991-08-02,7342
1991-08-09,7228
1991-08-16,7302
1991-08-23,7215
1991-08-30,7274
1991-09-06,7150
1991-09-13,7267
1991-09-20,7327
1991-09-27,7365
1991-10-04,7381
1991-10-11,7387
1991-10-18,7381
1991-10-25,7384
1991-11-01,7359
1991-11-08,7140
1991-11-15,7426
1991-11-22,7388
1991-11-29,7226
1991-12-06,7376
1991-12-13,6731
1991-12-20,7451
1991-12-27,7449
1992-01-03,7422
1992-01-10,7410
1992-01-17,7235
1992-01-24,7343
1992-01-31,7357
1992-02-07,7382
1992-02-14,7364
1992-02-21,7329
1992-02-28,7365
1992-03-06,7357
1992-03-13,7345
1992-03-20,7324
1992-03-27,7283
1992-04-03,7327
1992-04-10,7277
1992-04-17,7353
1992-04-24,7238
1992-05-01,7235
1992-05-08,7248
1992-05-15,7160
1992-05-22,7205
1992-05-29,7219
1992-06-05,7240
1992-06-12,7228
1992-06-19,7218
1992-06-26,7194
1992-07-03,7221
1992-07-10,7125
1992-07-17,7144
1992-07-24,7095
1992-07-31,7059
1992-08-07,7124
1992-08-14,6990
1992-08-21,7120
1992-08-28,6678
1992-09-04,6847
1992-09-11,6955
1992-09-18,7012
1992-09-25,7049
1992-10-02,7046
1992-10-09,7011
1992-10-16,7032
1992-10-23,7036
1992-10-30,7041
1992-11-06,7011
1992-11-13,6954
1992-11-20,6987
1992-11-27,7064
1992-12-04,7074
1992-12-11,7087
1992-12-18,7098
1992-12-25,7053
1993-01-01,6995
1993-01-08,7015
1993-01-15,6994
1993-01-22,7043
1993-01-29,7035
1993-02-05,7031
1993-02-12,7033
1993-02-19,6960
1993-02-26,6981
1993-03-05,7018
1993-03-12,6981
1993-03-19,6979
1993-03-26,6964
1993-04-02,6971
1993-04-09,6883
1993-04-16,6896
1993-04-23,6912
1993-04-30,6913
1993-05-07,6902
1993-05-14,6846
1993-05-21,6818
1993-05-28,6842
1993-06-04,6789
1993-06-11,6817
1993-06-18,6766
1993-06-25,6749
1993-07-02,6742
1993-07-09,6772
1993-07-16,6643
1993-07-23,6540
1993-07-30,6730
1993-08-06,6753
1993-08-13,6761
1993-08-20,6774
1993-08-27,6790
1993-09-03,6734
1993-09-10,6665
1993-09-17,6706
1993-09-24,6650
1993-10-01,6684
1993-10-08,6654
1993-10-15,6772
1993-10-22,6837
1993-10-29,6868
1993-11-05,6872
1993-11-12,6882
1993-11-19,6847
1993-11-26,6878
1993-12-03,6943
1993-12-10,6923
1993-12-17,6897
1993-12-24,6854
1993-12-31,6857
1994-01-07,6875
1994-01-14,6880
1994-01-21,6845
1994-01-28,6886
1994-02-04,6836
1994-02-11,6802
1994-02-18,6546
1994-02-25,6792
1994-03-04,6763
1994-03-11,6704
1994-03-18,6728
1994-03-25,6599
1994-04-01,6683
1994-04-08,6641
1994-04-15,6711
1994-04-22,6292
1994-04-29,6748
1994-05-06,6706
1994-05-13,6657
1994-05-20,6732
1994-05-27,6629
1994-06-03,6695
1994-06-10,6530
1994-06-17,6648
1994-06-24,6656
1994-07-01,6604
1994-07-08,6591
1994-07-15,6618
1994-07-22,6522
1994-07-29,6566
1994-08-05,6582
1994-08-12,6521
1994-08-19,6540
1994-08-26,6583
1994-09-02,6552
1994-09-09,6545
1994-09-16,6526
1994-09-23,6595
1994-09-30,6640
1994-10-07,6692
1994-10-14,6703
1994-10-21,6703
1994-10-28,6633
1994-11-04,6620
1994-11-11,6616
1994-11-18,6668
1994-11-25,6626
1994-12-02,6472
1994-12-09,6670
1994-12-16,6655
1994-12-23,6703
1994-12-30,6675
1995-01-06,6651
1995-01-13,6672
1995-01-20,6571
1995-01-27,6526
1995-02-03,6662
1995-02-10,6595
1995-02-17,6613
1995-02-24,6546
1995-03-03,6660
1995-03-10,6598
1995-03-17,6632
1995-03-24,6474
1995-03-31,6380
1995-04-07,6554
1995-04-14,6597
1995-04-21,6603
1995-04-28,6539
1995-05-05,6604
1995-05-12,6610
1995-05-19,6598
1995-05-26,6626
1995-06-02,6592
1995-06-09,6593
1995-06-16,6560
1995-06-23,6529
1995-06-30,6545
1995-07-07,6518
1995-07-14,6448
1995-07-21,6417
1995-07-28,6484
1995-08-04,6444
1995-08-11,6476
1995-08-18,6475
1995-08-25,6483
1995-09-01,6507
1995-09-08,6491
1995-09-15,6248
1995-09-22,6414
1995-09-29,6450
1995-10-06,6215
1995-10-13,6404
1995-10-20,6497
1995-10-27,6512
1995-11-03,6539
1995-11-10,6516
1995-11-17,6493
1995-11-24,6484
1995-12-01,6450
1995-12-08,6428
1995-12-15,6411
1995-12-22,6467
1995-12-29,6474
1996-01-05,6464
1996-01-12,6498
1996-01-19,6516
1996-01-26,6405
1996-02-02,6413
1996-02-09,6505
1996-02-16,6511
1996-02-23,6501
1996-03-01,6496
1996-03-08,6461
1996-03-15,6490
1996-03-22,6473
1996-03-29,6440
1996-04-05,6441
1996-04-12,6390
1996-04-19,6425
1996-04-26,6173
1996-05-03,6454
1996-05-10,6065
1996-05-17,6363
1996-05-24,6412
1996-05-31,6392
1996-06-07,6421
1996-06-14,6515
1996-06-21,6452
1996-06-28,6489
1996-07-05,6499
1996-07-12,6499
1996-07-19,6345
1996-07-26,6394
1996-08-02,6297
1996-08-09,6286
1996-08-16,6445
1996-08-23,6481
1996-08-30,6526
1996-09-06,6497
1996-09-13,6498
1996-09-20,6467
1996-09-27,6520
1996-10-04,6485
1996-10-11,6485
1996-10-18,6523
1996-10-25,6514
1996-11-01,6513
1996-11-08,6541
1996-11-15,6531
1996-11-22,6512
1996-11-29,6538
1996-12-06,6534
1996-12-13,6518
1996-12-20,6523
1996-12-27,6506
1997-01-03,6454
1997-01-10,6499
1997-01-17,6476
1997-01-24,6513
1997-01-31,6505
1997-02-07,6483
1997-02-14,6502
1997-02-21,6496
1997-02-28,6501
1997-03-07,6440
1997-03-14,6449
1997-03-21,6391
1997-03-28,6409
1997-04-04,6493
1997-04-11,6433
1997-04-18,6412
1997-04-25,6465
1997-05-02,6409
1997-05-09,6430
1997-05-16,6426
1997-05-23,6423
1997-05-30,6439
1997-06-06,6435
1997-06-13,6415
1997-06-20,6334
1997-06-27,6357
1997-07-04,6338
1997-07-11,6351
1997-07-18,6352
1997-07-25,6337
1997-08-01,6360
1997-08-08,6127
1997-08-15,6221
1997-08-22,6387
1997-08-29,6400
1997-09-05,6362
1997-09-12,6393
1997-09-19,6366
1997-09-26,6396
1997-10-03,6375
1997-10-10,6371
1997-10-17,6408
1997-10-24,6407
1997-10-31,6400
1997-11-07,6418
1997-11-14,6385
1997-11-21,6390
1997-11-28,6416
1997-12-05,6448
1997-12-12,6440
1997-12-19,6463
1997-12-26,6462
1998-01-02,6459
1998-01-09,6430
1998-01-16,6376
1998-01-23,6359
1998-01-30,6377
1998-02-06,6412
1998-02-13,6424
1998-02-20,6415
1998-02-27,6368
1998-03-06,6440
1998-03-13,6420
1998-03-20,6336
1998-03-27,6405
1998-04-03,6443
1998-04-10,6407
1998-04-17,6417
1998-04-24,6397
1998-05-01,6422
1998-05-08,6422
1998-05-15,6378
1998-05-22,6368
1998-05-29,6346
1998-06-05,6333
1998-06-12,6372
1998-06-19,6383
1998-06-26,6269
1998-07-03,6311
1998-07-10,6354
1998-07-17,6351
1998-07-24,6354
1998-07-31,6340
1998-08-07,6336
1998-08-14,6319
1998-08-21,6315
1998-08-28,6346
1998-09-04,6349
1998-09-11,6366
1998-09-18,6411
1998-09-25,6396
1998-10-02,5950
1998-10-09,6368
1998-10-16,6418
1998-10-23,6442
1998-10-30,6417
1998-11-06,6398
1998-11-13,6401
1998-11-20,6399
1998-11-27,6401
1998-12-04,6390
1998-12-11,6390
1998-12-18,6449
1998-12-25,6437
1999-01-01,6342
1999-01-08,6393
1999-01-15,6373
1999-01-22,6352
1999-01-29,6363
1999-02-05,6369
1999-02-12,6052
1999-02-19,5899
1999-02-26,5911
1999-03-05,5920
1999-03-12,5895
1999-03-19,5894
1999-03-26,5864
1999-04-02,5879
1999-04-09,5740
1999-04-16,5849
1999-04-23,5707
1999-04-30,5877
1999-05-07,5835
1999-05-14,5804
1999-05-21,5857
1999-05-28,5845
1999-06-04,5864
1999-06-11,5868
1999-06-18,5926
1999-06-25,5884
1999-07-02,5662
1999-07-09,5808
1999-07-16,5952
1999-07-23,5927
1999-07-30,5898
1999-08-06,5925
1999-08-13,5950
1999-08-20,5970
1999-08-27,5994
1999-09-03,6014
1999-09-10,5917
1999-09-17,5692
1999-09-24,5973
1999-10-01,6032
1999-10-08,6082
1999-10-15,6090
1999-10-22,6101
1999-10-29,6111
1999-11-05,6134
1999-11-12,6128
1999-11-19,6059
1999-11-26,6006
1999-12-03,6087
1999-12-10,6057
1999-12-17,6043
1999-12-24,6058
1999-12-31,6043
2000-01-07,6000
2000-01-14,6019
2000-01-21,6013
2000-01-28,5988
2000-02-04,6011
2000-02-11,5994
2000-02-18,5989
2000-02-25,6007
2000-03-03,5974
2000-03-10,5857
2000-03-17,5859
2000-03-24,5863
2000-03-31,5873
2000-04-07,5820
2000-04-14,5840
2000-04-21,5836
2000-04-28,5838
2000-05-05,5798
2000-05-12,5757
2000-05-19,5793
2000-05-26,5784
2000-06-02,5704
2000-06-09,5804
2000-06-16,5791
2000-06-23,5726
2000-06-30,5732
2000-07-07,5766
2000-07-14,5788
2000-07-21,5769
2000-07-28,5764
2000-08-04,5778
2000-08-11,5745
2000-08-18,5773
2000-08-25,5782
2000-09-01,5783
2000-09-08,5802
2000-09-15,5803
2000-09-22,5680
2000-09-29,5862
2000-10-06,5867
2000-10-13,5864
2000-10-20,5880
2000-10-27,5894
2000-11-03,5903
2000-11-10,5889
2000-11-17,5854
2000-11-24,5883
2000-12-01,5925
2000-12-08,5903
2000-12-15,5897
2000-12-22,5875
2000-12-29,5903
2001-01-05,5944
2001-01-12,5949
2001-01-19,5912
2001-01-26,5935
2001-02-02,5929
2001-02-09,5866
2001-02-16,5857
2001-02-23,5875
2001-03-02,5876
2001-03-09,5868
2001-03-16,5883
2001-03-23,5868
2001-03-30,5883
2001-04-06,5867
2001-04-13,5855
2001-04-20,5861
2001-04-27,5884
2001-05-04,5831
2001-05-11,5780
2001-05-18,5785
2001-05-25,5819
2001-06-01,5823
2001-06-08,5746
2001-06-15,5726
2001-06-22,5740
2001-06-29,5756
2001-07-06,5756
2001-07-13,5770
2001-07-20,5731
2001-07-27,5705
2001-08-03,5745
2001-08-10,5773
2001-08-17,5785
2001-08-24,5796
2001-08-31,5751
2001-09-07,5829
2001-09-14,5814
2001-09-21,5789
2001-09-28,5735
2001-10-05,5736
2001-10-12,5515
2001-10-19,5828
2001-10-26,5879
2001-11-02,5859
2001-11-09,5863
2001-11-16,5872
2001-11-23,5882
2001-11-30,5873
2001-12-07,5856
2001-12-14,5884
2001-12-21,5911
2001-12-28,5902
2002-01-04,5922
2002-01-11,5922
2002-01-18,5911
2002-01-25,5909
2002-02-01,5916
2002-02-08,5952
2002-02-15,5927
